IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
116.8.80.197,18-01-22 07:30,0.299,广西,HTTPS,8118
218.15.25.153,18-01-22 07:30,1.176,广东茂名,HTTPS,808
218.11.87.251,18-01-22 07:30,0.279,河北廊坊,HTTPS,8118
110.230.202.117,18-01-22 07:30,0.14,河北保定,HTTP,8118
122.237.246.81,18-01-22 07:30,0.353,浙江绍兴,HTTP,3128
125.106.22.188,18-01-22 07:27,5.559,浙江衢州,HTTPS,3128
110.73.49.181,18-01-22 07:26,5.062,广西南宁,HTTP,8123
115.56.176.180,18-01-22 07:25,6.985,河南开封,HTTP,8118
111.76.152.42,18-01-22 07:24,0.192,江西新余,HTTPS,808
27.40.134.32,18-01-22 07:24,1.575,广东湛江,HTTPS,61234
183.92.155.130,18-01-22 07:23,1.136,湖北,HTTPS,80
113.124.224.49,18-01-22 07:23,0.238,山东烟台,HTTP,808
139.199.87.42,18-01-22 07:22,0.213,长城宽带,HTTP,80
182.42.244.85,18-01-22 07:22,0.393,山东,HTTPS,808
61.135.217.7,18-01-22 07:21,0.324,北京,HTTP,80
122.114.31.177,18-01-22 07:21,0.107,河南郑州,HTTP,808
27.225.187.105,18-01-22 07:21,0.195,甘肃武威,HTTPS,8118
111.132.193.159,18-01-22 07:20,0.214,北京,HTTPS,8118
112.255.5.52,18-01-22 07:20,0.937,山东青岛,HTTPS,8118
49.72.163.84,18-01-22 07:18,0.398,江苏苏州,HTTPS,8118
106.56.102.40,18-01-22 07:15,0.415,云南,HTTP,808
124.133.72.70,18-01-22 07:15,0.094,山东济南,HTTPS,8118
60.215.236.173,18-01-22 07:13,0.602,山东淄博,HTTPS,8118
39.71.160.118,18-01-22 01:22,6.529,山东,HTTPS,8118
112.93.92.44,18-01-22 07:11,0.173,广东佛山,HTTP,80
112.114.94.40,18-01-22 07:11,0.344,云南临沧,HTTPS,8118
119.96.18.121,18-01-22 07:11,0.135,湖北武汉,HTTPS,8118
